#key	synopsis
007 - Everything or Nothing (USA, Europe) (En,Fr,De)	Pense como Bond, aja como Bond e experimente uma aventura Bond totalmente nova. James Bond, o maior agente secreto do mundo, retorna em Everything or Nothing com novas armas e dispositivos, habilidades de combate e truques inteligentes – e cabe a você fazer bom uso deles. Viaje por quatro continentes emocionantes, incluindo o Vale dos Reis no Egito e o Bairro Francês em Nova Orleans. O jogo também apresenta missões cooperativas para dois jogadores e modos de arena multijogador para quatro jogadores.
007 - NightFire (USA, Europe) (En,Fr,De)	O agente secreto definitivo está de volta em sua aventura mais perigosa em James Bond 007: NightFire. Explore novas alturas e profundidades como nunca antes: infiltre-se em arranha-céus, enfrente missões subaquáticas traiçoeiras e enfrente missões originais, incluindo missões no espaço sideral. Tudo isso, além de mulheres glamorosas (e às vezes mortais), novos dispositivos e armas de última geração e um sistema avançado de câmera no jogo que deixarão você abalado e agitado.
2 Disney Games - Disney Sports - Football + Disney Sports - Skateboarding (Europe) (En,Fr,De,Es,It)	Pacote de 2 jogos: o primeiro é Disney Sports Football, um jogo esportivo lançado no Gameboy Advance. Como o título pode sugerir, este é um jogo de futebol americano que se passa no universo Disney. Você poderá jogar com seus personagens favoritos durante jogos muito arcade. o segundo é Disney Sports Skateboarding, um jogo de skate no Gameboy Advance. Jogue como Mickey ou um de seus amigos famosos nos 10 níveis que este jogo oferece. Você também pode andar com um amigo em um modo para dois jogadores.
2 Game Pack! - Matchbox Missions - Emergency Response + Air, Land and Sea Rescue (USA)	Proteja a cidade contra incêndios, leve as pessoas com necessitadas ao hospital e salve o dia neste pacote duplo. Inclui resgate aéreo, terrestre e marítimo e resposta a emergências.
2 Games in 1 - Sonic Advance + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es)	2 Games in 1: Sonic Advance & ChuChu Rocket!, chamado Double Pack: Sonic Advance & ChuChu Rocket! no Japão, é uma compilação de dois jogos para o Game Boy Advance. Contém os jogos Sonic Advance e ChuChu Rocket!. Não há extras, apenas um menu que permite selecionar os dois jogos.
2 Games in 1 - Sonic Advance + Sonic Battle (Europe) (En,Ja,Fr,De,Es+En,Ja,Fr,De,Es,It)	2 Games in 1: Sonic Advance & Sonic Battle, chamado Double Pack: Sonic Battle & Sonic Advance no Japão, é uma compilação de dois jogos do Sonic para o Game Boy Advance. Contém os jogos Sonic Advance e Sonic Battle. Não há extras, apenas um menu que permite selecionar os dois jogos.
2 Games in 1 - Sonic Battle + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es,It+En,Ja,Fr,De,Es)	2 Games in 1: Sonic Battle & ChuChu Rocket! é uma compilação de dois jogos para o Game Boy Advance. Contém os jogos Sonic Battle e ChuChu Rocket!. Não há extras, apenas um menu que permite selecionar os dois jogos.
2 Games in 1 - Sonic Battle + Sonic Pinball Party (Europe) (En,Ja,Fr,De,Es,It)	2 Games in 1: Sonic Pinball Party & Sonic Battle, chamado Double Pack: Sonic Pinball Party & Sonic Battle no Japão, é uma compilação de dois jogos do Sonic para o Game Boy Advance. Ele contém os jogos Sonic Pinball Party e Sonic Battle. Não há extras, apenas um menu que permite selecionar os dois jogos.
2 Games in 1 - Sonic Pinball Party + Columns Crown (Europe) (En,Ja,Fr,De,Es,It+En)	2 Games in 1: Sonic Pinball Party & Columns Crown é uma compilação de dois jogos para o Game Boy Advance. Contém os jogos Sonic Pinball Party e Columns Crown. Não há extras, apenas um menu que permite selecionar os dois jogos.
2006 FIFA World Cup - Germany 2006 (USA, Europe) (En,Fr,De,Es,It)	FIFA Soccer 2006 lhe permite se tornar um jogador de futebol ou gerenciar um time para o seu destino! Vá ao Gramado ao jogar uma experiência de futebol completa, autêntica, e inteligente. Una o time quando o jogo fica difícil, e se certifique que a química do seu time mantenha o time no jogo.
2K Sports - Major League Baseball 2K7 (USA)	Uma nova era no diamante. Major League Baseball 2K7 redefine o que é um simulador de beisebol, trazendo o realismo da próxima geração, mecânicas de arremesso totalmente reformuladas e uma apresentação visual sem precedentes.
3 Game Pack! - Candy Land + Chutes and Ladders + Original Memory Game (USA)	Três jogos de tabuleiro clássicos em um pacote de jogos indispensável! Candy Land, Chutes & Ladders e o Original Memory Game agora podem ser jogados sem seus tabuleiros volumosos. Basta carregar este jogo em seu Game Boy Advance portátil e se preparar para muita diversão.
3 Game Pack! - Mouse Trap + Simon + Operation (USA)	Compilação de 3 jogos de tabuleiro em versão eletrônica no GBA: Mouse Trap, Simon e Operation.
3 Game Pack! - The Game of Life + Payday + Yahtzee (USA)	Um pacote de três jogos de tabuleiro clássicos. The Game Of Life – Você vai fazer faculdade ou entrar no mercado de trabalho? Casar e ter filhos? Você irá à falência ou ganhará milhões em ações e imóveis? Tudo é possível girando a roda da vida! nnYahtzee é um grande clássico há mais de 40 anos! Jogue os dados para casas cheias, três do mesmo tipo, quatro do mesmo tipo, etc... Yahtzee! Payday é o clássico jogo familiar que torna as finanças domésticas divertidas, tente ganhar o máximo de dinheiro possível evitando pagar todas as contas.
4 Games on One Game Pak (Nicktoons) (USA)	O jogo contém quatro jogos licenciados da Nickelodeon completos em um único cartucho. Há um menu que permite aos jogadores rolar para baixo e escolher o jogo que desejam jogar. Os quatro jogos contidos no cartucho são: Rocket Power: Zero Gravity Zone, Nicktoons: Freeze Frame Frenzy, The Fairly OddParents! Shadow Showdow e SpongeBob SquarePants: SuperSponge.
Ace Combat Advance (USA, Europe)	A Air Strike Force (A.S.F.) é o esquadrão de aeronaves mais avançado do planeta. Não pertencente a nenhuma nação, ela é propriedade da General Resources Ltd., que começa a designar a A.S.F. para missões destinadas a eliminar a concorrência e obter vantagem econômica. Alarmadas com esse domínio, as nações do mundo se aliam para formar a United Air Defense (U.A.D.), cujo objetivo é combater a A.S.F. e destruir sua capacidade bélica. Ace Combat Advance é um jogo de tiro com visão superior. O jogador começa escolhendo uma aeronave e um tipo de arma secundária para usar em cada missão. Ao entrar na fase, o jogador pode girar para a esquerda, para a direita e realizar uma manobra de mergulho, enquanto também pode controlar a aceleração e a frenagem. Em relação às armas, o jogador pode disparar um canhão diretamente à frente da aeronave ou usar a arma secundária, cujos detalhes variam. Um briefing mostra os objetivos e alvos definidos de cada uma das 12 missões.
Action Man - Robot Atak (Europe) (En,Fr,De,Es,It)	Action Man: Robot Attack é baseado no filme de animação lançado diretamente em DVD de mesmo nome, que por sua vez é baseado na linha de brinquedos. Para deter o maligno Dr. X e seu exército de robôs que vêm atacando cidades ao redor do mundo, a Força de Ação parte em busca de seu esconderijo secreto, a Ilha X. Deixados em diferentes partes da ilha, Action Man, Redwolf e Flint precisam primeiro se encontrar e depois acabar com os planos do doutor maligno.
Advance Guardian Heroes (USA)	Advance Guardian Heroes é a sequência ao clássico do Sega Saturn Guardian Heroes. É um jogo de ação de rolagem lateral e beat-em-up. Você escolhe entre 3 personagens que serão acompanhados por um lendário Herói da Alma de outro mundo. Você deve tomar controle da Lendária Espada da Alma do túmulo do Herói da Alma e salvar o mundo. Há 2 modos de jogo, modo de história onde você pode jogar sozinho ou cooperativamente com outro jogador ligando dois GBAs juntos. Há também um modo de oposição onde até 4 jogadores podem batalhar entre si. No modo história você recebe cristais dos inimigos derrotados. No final de cada nível você pode melhorar características como MP ou HP, ou você pode doar para o Laboratório que eventualmente desbloqueará personagens para usar em modo de oposição. Há 3 personagens iniciais disponíveis, mas até 20 são desbloqueáveis.
Advance Wars (USA)	As linhas de batalha foram traçadas e um grupo de elite de estrategistas astutos está reunindo tropas em suas fronteiras. Em Advance Wars os fãs de estratégia podem mostrar suas habilidades táticas! No papel de diferentes comandantes, o jogador deve liderar suas respectivas tropas à vitória. Diferentes unidades estão disponíveis para as missões (infantaria, força aérea, marinha), que são equipadas com diferentes características como mobilidade, força de ataque e alcance. Conflitos com tropas inimigas, inúmeras armas e vários meios de transporte são simulados em 114 locais. Até 4 amigos podem enfrentar adversários perigosos ao mesmo tempo com apenas um módulo de jogo no modo multijogador, mesmo com apenas um Game Boy Advance!
Advance Wars 2 - Black Hole Rising (USA)	A sequência do popular jogo tático Advance Wars retorna ao Gameboy Advance com Advance Wars 2: Black Hole Advance. A ameaça do exército Black Hole pesa mais do que nunca no Wars World, e é perante a iminência de uma invasão que as diferentes forças terão de se aliar. Cumpra o objetivo definido para você em cada missão, às vezes antes de um determinado período de tempo. Cabe a você implementar a melhor estratégia para tirar vantagem do seu adversário.
Adventures of Jimmy Neutron Boy Genius, The - Attack of the Twonkies (USA, Europe)	Este jogo de aventura de plataforma baseado na série de filmes e série de sucesso da Nickelodeon mostra Jimmy retornando do espaço sideral — com um clandestino alienígena. O alienígena começa fofo e fofo, mas rapidamente se torna uma fera feroz com um apetite voraz por destruição. Mais uma vez, Jimmy Neutron precisa usar um sistema revolucionário de invenções para criar alguns gadgets inspirados para capturar e conter o ataque alienígena que se multiplica rapidamente. Os jogadores podem criar mais de 26 aparelhos, 11 invenções e quatro super invenções. Claro que também há engenhocas secretas escondidas em cada fase que dão a Jimmy Neutron power-ups aprimorados. Com a ajuda desses gadgets, Jimmy avança por seis episódios em 15 fases, incluindo Laboratório de Jimmy ™, Twonkus-3, The Neighborhood, Downtown, Retroland e o Confronto Final.
